sentence,emotion
"""Okay lang ako! Ano ba kayo?""",anger
"""Nasira ang iyong tibialis anterior.""",fear
"""Ha? Saan 'yun? Ay basta, ayos lang ako. Habulin na lang natin 'yung kriminal at baka makatakas siya!""",anger
"""Nakakalungkot, nasa Kanluran siya.""",sadness
"""Tsk. Kailangan kong magtago. Alam na ng mga pulis na ako ang pumatay sa hayup na 'yun,"" sabi nung kriminal.",fear
Ito na lang ang alaala ko sa kanya dahil . . . dahil . . . wala na rin si Demi na pusa niya.,sadness
Lagi kong sinisisi ang sarili ko dahil sa pagkamatay ni Demi at dahil napakahina ko noon.,sadness
"Pero kapag naaalala ko 'yung sinabi nung Huntres habang nasa digmaan, lumalakas ang loob ko. Gusto kong maging katulad niya. Kahit nasa gitna kami ng laban nun ay wala siyang pinakitang kahinaan, kahit na andaming namamatay sa paligid niya.",joy
"""Sa burol na naman?"" sabay ngiti sa akin ni Akane.",joy
Napangiti tuloy ako bigla.,joy
Kahit papaano ay gumagaan ang pakiramdam ko at nawawala lahat ng problema ko nang panandalian. Napangiti ulit ako nung nakita ko ang mga berdeng bulaklak habang naglalakad ako.,joy
"Huminga naman ako nang malalim para pigilan 'yung luha ko. Hanggang ngayon, nagsisisi pa rin ako sa nangyari.",sadness
"Kahit na alam kong magkasama na sila ni Mama ngayon, nalulungkot pa rin ako. Masakit na kapag gumigising ako, hindi ko siya nakikita sa tabi ko o sa loob ng kwarto.",sadness
Natatakot ako sa pwedeng mangyari pero ito ang dapat naming gawin.,fear
"Kahit sinabi ko 'yun ay nag-aalala rin ako para kay Mama, at alam kong ganun din si Hiro.",fear
Napaka-protektibo niya pagdating sa Mama niya. Siguro dahil natatakot siyang mawala o malayo ulit sa kanya.,fear
Ganun din kasi ako kay Papa. Kahit na siya ang pinakamalakas sa amin ay natatakot pa rin ako kapag umaalis siya. Natatakot ako na baka kung anong mangyari sa kanya.,fear
"""Paumanhin.""",sadness
"""Hindi talaga. Hati sila ni Dad. Marahil ay gusto niya lang ipagmalaki,"" sabay ngiti niya. Napangiti rin ako sa ideya na 'yun.",joy
Bigla akong naawa sa kanya at kahit madilim ay kita ko ang lungkot sa mukha niya.,sadness
"""Eto,"" sabay abot ko ng berdeng bulaklak na hawak ko sa kanya. ""Punan mo ang isip mo ng masasaya at positibong pag-iisip.""",joy
"""Salamat,"" tapos kinuha niya 'yung bulaklak.",joy
"""Kung hindi 'to alam ni Sir Hideo, iligal 'to. Tatakas tayo? Pero baka makita niya tayo.""",fear
"Tumayo si Akane at binalik niya 'yung mapa sabay sabing, ""bakit kasi umaga ang PE na klase natin? Sino bang sira ang tuktok ang nagmungkahi nito?""",anger
Natawa naman ako sa sinabi niya hanggang sa umabot na ang pang-aasar niya kay Ken sa pagkatao niya.,joy
"Kapag nag-aaway sila, gumagaan lagi ang kapaligiran. Kaya siguro labis akong naging malapit sa kanila nitong nagdaang taon dahil kapag kasama ko sila, nakakalimutan ko 'yung mga masasamang nangyari.",joy
"""Anong ginagawa mo? Nakakakilabot, Akane.""",fear
"""Hmm, 115 bpm. Tiyak na sabik,"" sabay ngiti niya sa akin.",joy
"""Pfft. Nakakatawa 'yung reaksyon mo kanina!""",joy
"""Pano nakakatakot 'yang itsura mo. Masyadong seryoso.""",fear
"""Hoy Ken!"" sabay batok niya kay Ken.",anger
"""Aray! Problema mo?! Sakit nun ha! Ginulo mo pa buhok ko!""",anger
"""Magulo naman talaga buhok mo! Bakit ba kasi 6 AM ang minungkahi mong klase sa PE ha? May sira na ba 'yang utak mo?""",anger
"""Talaga? Salamat."" Ngumiti naman si Riye sa kanya at nilagay niya sa loob ng bag 'yung libro.",joy
Pinanood ko lang silang dalawa habang nag-uusap at napangiti ako.,joy
"""Hindi niyo ako matatakasan.""",anger
Nagsitayuan ang mga balahibo ko nung biglang may bumulong sa tenga ko.,fear
Napabuntung-hininga na lang ako dahil sa pananakot na ginawa niya. Akala ko kung sino na!,anger
"Aatakihin ako sa puso ng wala sa oras dahil kay Ma'am Michiko eh. Pero ang nakakainis, ako lang ang nagulat.",anger
"""Biro lang 'yan.""",joy
Nagtawanan lang kami doon at kahit papaano ay gumaan ulit ang kapaligiran.,joy
"""Talaga po, Sir?"" Bigla akong namangha nung narinig ko 'yun.",joy
Napatingin ulit ako kay Sir Hiroshi at lalo lang akong namangha.,joy
"At nung umalis kami, pinangako ko sa sarili ko na hinding-hindi na ako sasakay dito. Sa sobrang bilis ay hindi nakayanan ng utak ko at nagdilim ang paligid ko.",fear
"""Mabuti at gising ka na,"" sabi ni Hiro.",joy
Matapos ang ilang minuto ay nawala na 'yung bigat ng sikmura ko at medyo umayos ang pakiramdam ko.,joy
"""Teka, Sir. Hindi ba tayo mahuhuli nito dahil pumasok tayo sa Romania ng walang pasabi?"" tanong ni Akane habang nakasilip pa sa bintana at palakad-lakad.",fear
Bigla namang umalog 'yung eroplano kaya napakapit ako sa upuan ko at pumikit.,fear
"""Akemi, huwag kang pumunta sa daang iyon,"" sabay turo ni Akane sa harapan. ""May naririnig akong mga mababangis na hayop. Sa tingin ko ay may mababangis na mga oso at baboy-ramo sa lugar na 'yun.""",fear
"""S-siguro naman mekanismo 'yan ng kweba no?"" tanong ko sa kanila.",fear
"""M-mukha nga. Hindi naman siguro tayo makukulong dito."" Mukhang hindi sigurado at natakot din si Akane.",fear
"""Whoa . . . paanong . . . "" Hindi na naituloy ni Akane ang sasabihin niya at napanganga na lang din siya.",joy
"""Oh. Magandang lugar. Hindi ko akalaing may umiiral na ganito.""",joy
At kahit walang magsabi ay alam kong may tensyon na namamagitan sa aming lahat.,fear
Tumingin siya sa akin tapos ngumiti kaya napangiti rin ako.,joy
"""Masaya akong makita ka ulit, Rainie.""",joy
Pagkatapos naming magpakilala ay wala nang nagsalita at naramdaman ko na naman ang tensyon sa pagitan naming lahat.,fear
Kahit na sibil kami sa isa't isa ngayon ay may pagdududa pa rin kami sa kahihinatnan ng pulong na ito.,fear
Bigla namang tumingin si Nel kay Krystal at alam kong anumang oras ay may mangyayari nang masama dahil bigla ulit tumaas ang tensyon sa paligid.,fear
"""May ibig ka bang ipahiwatig?"" maangas na sabi ni Krystal . . . at literal ang ibig kong sabihin dahil sa namumuong yelo sa lamesa kung saan nakalapag ang kamay niya.",anger
Uh oh. Naamoy ko ang gulo.,fear
"Biglang tumahimik ang lahat at tanging 'yung tunog lang ng hangin na umiikot sa loob ang naririnig. Maging ang balat ko ay nararamdaman ang tensyon dahil tumaas ang mga balahibo ko at nabalutan ng malamig na kilabot. Pati sina Akane, Hiro at 'yung mga kasama nina Darwin, Krystal at Nel ay naging alerto rin. Isang salita o kahit kaunting kilos ay maaaring magsimula ng gulo.",fear
"Bigla na lang akong nakaramdam ng sobrang bigat at sabay-sabay kaming naglabas at itinutok ang aming mga armas sa isa’t isa, pagkatapos ay biglang nagyelo ang lamesa at upuan.",fear
Medyo nanginginig ako dahil bigla kong natutok ang baril ko na may balang palaso dahil nakaramdam ako ng bigat sa direksyon niya.,fear
"Bigla ko ulit naramdaman ang bigat, pero sa pagkakataong ito, mas malala. Sobrang bigat sa pakiramdam ang nanggagaling sa tatlong ito.",fear
"""Magaling. Nasabi mo ang punto mo nang maayos."" Narinig ko ang boses ni Hiro sa isip ko pero hindi ako makalingon sa likod dahil nakatingin sa akin 'yung tatlo.",joy
"""Hindi. Mukha kang lider, tulad ng iyong ama.""",joy
Napangiti naman ako at nabawasan ang bigat sa loob ko dahil doon. Ayoko kasing lumabas na bastos at sabihing nagmamarunong ako dahil sa mga nasabi ko. Gusto ko lang talagang magkaroon ng malapit na relasyon sa ibang mga tribo.,joy
"""Pasensya na sa asal niya,"" biglang sabi nung isang lalaki na nasa likuran ni Nel. ""Nahihirapan kasi siya nitong mga nakaraang araw. Sa inyo tuloy nabubuhos,"" sabay hawak niya sa balikat ni Nel at nakita kong biglang napatigil si Nel.",sadness
Bigla naman silang nagtawanan habang kaming apat na nakaupo ay parang napahiya. Pero dahil doon ay nawala 'yung bumabalot na tensyon.,joy
Napatingin ako kay Darwin at nakita kong ngumiti siya.,joy
"""Nararapat pa nga. Baka biglang magbago na naman ang mood ng iba,"" sabi nung isa pang babae sa likod ni Krystal habang nakahawak sa balikat ni Krystal.",fear
Nagamit ko na ang Black Dimension ng ilang beses nitong nakaraang ilang buwan kahit hindi ko pa masyadong kontrolado ang pagbukas at sara nun pero masasabi ko na sobrang mapanganib doon ngayon.,fear
"Ang lugar na iyon ay sobrang tahimik at madalas akong nakakarinig ng maraming paghiging at paghuni, at ang tensyon sa kapaligiran ay masyadong mataas.",fear
Pakiramdam ko ay laging may nakatingin sa akin kapag nandoon ako kaya nga hangga't maaari ay hindi muna ako naglalakbay doon kung hindi naman kailangan.,fear
"""Siyempre. Matagumpay na nasalakay ng kaniyang grupo ang kuta ng mga Shinigami at nakuha nila ang mga mata ng kanilang mga kasama.""",joy
Biglang bumalik ang tensyon sa loob ng silid at bumilis ang tibok ng puso ko dahil parang may malalaman akong hindi ko inaasahan.,fear
Naramdaman ko ang mga daliri ni Akane sa balikat ko at siguradong napansin niya ang pagbilis ng heartbeat ko.,fear
"""Mabuti naman sila. Sa katunayan, mas maraming mga Shinigami ang sumali sa amin nung nalaman nilang buhay pa sila at sila ang nangunguna. Sa tingin ko, maganda ang reputasyon ng mga magulang ko noon.""",joy
"""Mabuti kung ganoon.""",joy
"""Ayos na,"" sinabi ko habang nakangiti.",joy
"""Oo. Ayos na. Lubos akong nasaktan noong mga unang buwan pagkatapos ng digmaan. Pero nakapagpatuloy na rin naman ako at marami na akong natutunan ngayon kaya ayos na ako.""",joy
"""Naiintindihan ko. Mukhang hindi na kailangan mag-alala para sa iyo.""",joy
"""Salamat nga pala dito. Nagpapainit ito sa akin dahil sa malamig na lugar tayo nakatira.""",joy
"""Sige,"" sabi niya. Bigla naman siyang tumingin sa akin. ""Sige, mauna na kami. Masaya akong makita ka ulit, Rainie.""",joy
"""Ayos lang 'no. 'Di ba naging kaklase mo siya dati bago kayo masangkot sa mundo ng mga Erityian kaya alam naming nagkukwentuhan kayo tungkol sa mga nangyari sa inyo. 'Di ba, Hiro?"" sabi ni Akane at nagsimula na lang maglakad si Hiro kaya sinundan na lang namin siya at narinig ko ang hagikgik ni Akane.",joy
"""Shit, hindi ko alam kung paano lalapag!""",fear
"""Yo-yo ka dyan! Ano ba ang ginagawa ninyo rito?!""",anger
"""Mabuti. Hindi ko man lang napansin,"" sabay itinapon ito kay Reiji at nasambot naman ito.",joy
"""Ang sakit nun ha!"" Nilagay naman ni Ken ang braso niya paikot sa leeg ni Akane at nagrambulan na naman sila.",anger
Bigla akong kinabahan dahil baka nalaman ni Papa ang nangyaring lihim na pagpupulong sa pagitan ng apat na mag tribo kaya niya kami pinapatawag.,fear
Baka nagalit siya dahil hindi namin sinabi o hindi man lang kami nagtanong sa kanya.,fear
"""Nandito na sila,"" sabi ni Papa at ngumiti naman ang kasama niya.",joy
"""Bakit po kayo nandito?"" tanong ko at ngumiti siya sa akin.",joy
"Kahit 'yun lang ang sinabi niya ay alam ko na ang ibig niyang sabihin kaya napatingin ako kay— sa Mama ni Hiro, at nakangiti siya sa amin. ""Oo. Sasama ka sa akin.""",joy
"""Na mapanganib ito. Nag-aalala siya sa atin.""",fear
"""Nararamdaman mo rin ba ang presensya na iyon?"" Napatingin ako kay Hiro na diretso lang na nakatingin pero seryoso ang ekspresyon niya.",fear
"Dahil sa huli, dahil sa mga Shinigami kung bakit nawala ang apat sa Great Seven, kasama ang asawa niya pati na si Mama. Alam kong masakit pa rin para sa kanya lahat ng nangyari kahit ilang taon na ang nakalipas, ganun din para kay Papa at kay Ma'am Michiko.",sadness
"Kapag kasi tungkol sa kanya, napapansin kong parang nagiging mahina si Papa. Nawawala ang awra ng pagiging Presidente niya. Ayaw ko naman siyang pilitin dahil alam kong traumatic at masakit para sa kanya ang mga nangyari sa kanila.",sadness
Napangiti naman ako habang tinitingnan ko siyang maglagay ng contacts.,joy
